"","x"
"1",83.4
"2",84.3
"3",85.3
"4",86.7
"5",86.7
"6",87.4
"7",87.5
"8",87.6
"9",87.7
"10",87.8
"11",87.9
"12",88.2
"13",88.3
"14",88.3
"15",88.3
"16",88.5
"17",88.5
"18",88.6
"19",88.6
"20",88.7
"21",88.9
"22",89
"23",89.2
"24",89.3
"25",89.3
"26",89.6
"27",89.7
"28",89.8
"29",89.8
"30",89.9
"31",89.9
"32",90
"33",90.1
"34",90.1
"35",90.3
"36",90.3
"37",90.4
"38",90.4
"39",90.4
"40",90.6
"41",90.7
"42",90.8
"43",90.9
"44",91
"45",91
"46",91
"47",91.1
"48",91.1
"49",91.1
"50",91.2
"51",91.2
"52",91.5
"53",91.6
"54",91.6
"55",91.8
"56",91.8
"57",92.2
"58",92.2
"59",92.2
"60",92.3
"61",92.6
"62",92.7
"63",92.7
"64",92.7
"65",93
"66",93.2
"67",93.3
"68",93.3
"69",93.4
"70",93.7
"71",94.2
"72",94.2
"73",94.4
"74",94.7
"75",95.6
"76",96.1
"77",98.8
"78",100.3
